Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
1956,3.0,1,1,1
1958,2.0,1,1,0
1902,2.0,1,0,1
8358,2.0,1,0,1
5516,2.0,1,0,1
9577,2.0,1,0,1
7018,2.0,1,0,1
84759,2.0,1,0,1
5034,2.0,1,0,1
6421,2.0,1,0,1
1325,2.0,1,0,1
55183,2.0,1,0,1
688,2.0,1,1,0
3184,2.0,1,0,1
7378,2.0,1,0,1
79623,1.0,1,0,0
4154,1.0,1,0,0
3587,1.0,1,0,0
54882,1.0,1,0,0
10905,1.0,1,0,0
8994,1.0,1,0,0
57017,1.0,1,0,0
5322,1.0,1,0,0
6185,1.0,1,0,0
27042,1.0,1,0,0
6934,1.0,1,0,0
8880,1.0,1,0,0
404734,1.0,1,0,0
4363,1.0,1,0,0
10002,1.0,1,0,0
57610,1.0,1,0,0
